Finland, Female population exposure by calendar year and age (Lexis squares, age in completed years (ACY))
Last modified: 06/09/2023
Year    Age        Exposure
1959     43        27366.10
1959     44        28979.58
1959     45        29461.02
1959     46        29993.51
1959     47        30436.11
1959     48        30247.33
1959     49        30150.67
1959     50        29889.37
1959     51        29103.56
1959     52        28601.57
1959     53        27054.29
1959     54        26361.20
1959     55        25204.26
1960     12        49259.85
1960     13        49137.36
1960     14        50181.24
1960     15        37065.83
1960     16        35439.15
1960     17        31051.16
1960     18        33731.83
1960     19        33225.21
1960     20        33146.93
1960     21        32868.69
1960     22        31415.84
1960     23        29346.23
1960     24        29266.56
1960     25        28782.75
1960     26        27446.85
1960     27        27508.89
1960     28        28900.77
1960     29        30247.30
1960     30        31065.02
1960     31        31405.81
1960     32        30550.21
1960     33        30060.90
1960     34        30662.44
1960     35        30480.93
1960     36        31409.85
1960     37        30755.24
1960     38        30923.12
1960     39        31544.20
1960     40        28972.80
1960     41        24677.95
1960     42        28314.16
1960     43        27740.66
1960     44        27261.39
1960     45        28853.55
1960     46        29339.31
1960     47        29860.68
1960     48        30311.18
1960     49        30104.86
1960     50        30010.48
1960     51        29732.72
1960     52        28914.00
1960     53        28415.69
1960     54        26871.96
1960     55        26151.77
1961     12        48659.86
1961     13        49144.44
1961     14        49057.21
1961     15        50180.39
1961     16        37027.59
1961     17        35411.19
1961     18        30983.68
1961     19        33511.16
1961     20        33055.30
1961     21        32849.05
1961     22        32679.12
1961     23        31091.56
1961     24        29150.75
1961     25        28929.00
1961     26        28457.41
1961     27        27128.88
1961     28        27220.71
1961     29        28586.65
1961     30        30021.09
1961     31        30824.40
1961     32        31228.16
1961     33        30390.28
1961     34        29941.56
1961     35        30543.66
1961     36        30336.85
1961     37        31263.16
1961     38        30637.28
1961     39        30833.55
1961     40        31428.65
1961     41        28847.03
1961     42        24590.59
1961     43        28182.07
1961     44        27614.87
1961     45        27102.40
1961     46        28726.60
1961     47        29165.74
1961     48        29767.53
1961     49        30168.01
1961     50        29967.65
1961     51        29826.36
1961     52        29573.00
1961     53        28720.52
1961     54        28202.03
1961     55        26665.26
1962     12        46523.08
1962     13        48551.16
1962     14        49099.44
1962     15        48979.11
1962     16        50096.41
1962     17        36948.39
1962     18        35294.63
1962     19        30694.32
1962     20        33339.33
1962     21        32765.72
1962     22        32736.99
1962     23        32455.46
1962     24        30888.79
1962     25        28896.31
1962     26        28685.02
1962     27        28213.27
1962     28        26882.13
